Ð§Ð°ÑÑ‚Ð¾Ñ‚Ð°,A * B
(kÐ“Ñ†),(?)

0.00000000,0.00245695
0.02384186,0.00102942
0.04768372,0.00020571
0.07152557,0.00004842
0.09536743,0.00001902
0.11920929,0.00005983
0.14305115,0.00008554
0.16689301,0.00013543
0.19073486,0.00015481
0.21457672,0.00012262
0.23841858,0.00009878
0.26226044,0.00014484
0.28610229,0.00020294
0.30994415,0.00042541
0.33378601,0.00096260
0.35762787,0.00084543
0.38146973,0.00018444
0.40531158,0.00003534
0.42915344,0.00015682
0.45299530,0.00019289
0.47683716,0.00017381
0.50067902,0.00020111
0.52452087,0.00021807
0.54836273,0.00022671
0.57220459,0.00016897
0.59604645,0.00005740
0.61988831,0.00031015
0.64373016,0.00094738
0.66757202,0.00088446
0.69141388,0.00025363
0.71525574,0.00015708
0.73909760,0.00003069
0.76293945,0.00008554
0.78678131,0.00020808
0.81062317,0.00025678
0.83446503,0.00018330
0.85830688,0.00010867
0.88214874,0.00013095
0.90599060,0.00004595
0.92983246,0.00005224
0.95367432,0.00128154
0.97751617,0.00676395
1.00135803,0.01052370
1.02519989,0.00580528
1.04904175,0.00078700
1.07288361,0.00008708
1.09672546,0.00002519
1.12056732,0.00005780
1.14440918,0.00004141
1.16825104,0.00006532
1.19209290,0.00011966
1.21593475,0.00012819
1.23977661,0.00010120
1.26361847,0.00010552
1.28746033,0.00017230
1.31130219,0.00036758
1.33514404,0.00059521
1.35898590,0.00039484
1.38282776,0.00008965
1.40666962,0.00004065
1.43051147,0.00018848
1.45435333,0.00019176
1.47819519,0.00014748
1.50203705,0.00012242
1.52587891,0.00006146
1.54972076,0.00005843
1.57356262,0.00010684
1.59740448,0.00014654
1.62124634,0.00036329
1.64508820,0.00066926
1.66893005,0.00043577
1.69277191,0.00024024
1.71661377,0.00017951
1.74045563,0.00001384
1.76429749,0.00008664
1.78813934,0.00017273
1.81198120,0.00018160
1.83582306,0.00011611
1.85966492,0.00009438
1.88350677,0.00016832
1.90734863,0.00013861
1.93119049,0.00007441
1.95503235,0.00229855
